,score,names_wga,dates_wga,names_artuk,dates_artuk,is_same,artist_id_wiki+googleart+wga+meisterwerke+moma,artist_id_artuk,Unnamed: 9,Unnamed: 10,Unnamed: 11
1161,97.0,"[eugene de blaas, eugene von blaas]","[1843, 1932]","[von blaas, eugen]","[1843, 1931]",1,wiki_eugene-de-blaas,"artuk_von blaas, eugen, (1843-1931)","(595, 6128)",93.0,"[0, 1]"
1162,100.0,[frederick morgan],"[1850, 1927]","[morgan, frederick]","[1856, 1927]",1,wiki_frederick-morgan,"artuk_morgan, frederick, (1856-1927)","(689, 4207)",69.0,"[6, 0]"
1163,100.0,"[george henry, brown, george henry alan, brown, george h. a.]","[1862, 1935.0]","[brown, george h. a., brown, george henry alan, henry, george]","[1862, 1891.0]",1,wiki_george-henry,"artuk_henry, george,  & hornel, edward atkinson, (1858-1943)","(733, 2758)",40.0,"[0, 44.0]"
1164,100.0,"[george henry, brown, george henry alan, brown, george h. a.]","[1862, 1935.0]","[brown, george h. a., brown, george henry alan, henry, george]","[1862, 1939.0]",1,wiki_george-henry,"artuk_henry, george, (1858-1943)","(733, 2759)",128.0,"[0, 4.0]"
1165,100.0,"[george henry, brown, george henry alan, brown, george h. a.]","[1862, 1935.0]","[hewitt, h. g., hewitt, h. george, hewitt, henri george, hewitt, henry george]","[1864, 1900.0]",0,wiki_george-henry,"artuk_hewitt, henry george, (1864-1911)","(733, 2794)",39.0,"[2, 35.0]"
1166,100.0,"[george henry, brown, george henry alan, brown, george h. a.]","[1862, 1935.0]","[manton, g. grenville, manton, george henry grenville, manton, george henry greville, manton, grenville]","[1855, 1932]",0,wiki_george-henry,"artuk_manton, george henry grenville, (1855-1932)","(733, 3852)",50.0,"[7, 3.0]"
1167,100.0,"[george henry, brown, george henry alan, brown, george h. a.]","[1862, 1935.0]","[wimpenny, george henry]","[1857, 1939]",0,wiki_george-henry,"artuk_wimpenny, george henry, (1857-1939)","(733, 6477)",59.0,"[5, 4.0]"
1168,88.0,"[piranesi, giovanni battista, giovanni battista (giambattista) piranesi, giovanni battista piranesi]","[1720, 1778]","[cipriani, giovanni battista]","[1727, 1785]",0,wiki_giovanni-battista-piranesi,"artuk_cipriani, giovanni battista, (1727-1785)","(797, 1025)",1595.0,"[7, 7]"
1169,100.0,[harry clarke],"[1889, 1931]","[clarke, h. harvey, clarke, harry harvey]","[1869, 1948]",0,wiki_harry-clarke,"artuk_clarke, harry harvey, (1869-1948)","(889, 1043)",71.0,"[20, 17]"
1170,84.0,[henry william banks davis],"[1833, 1914]","[hope, william henry]","[1835, 1915]",0,wiki_henry-william-banks-davis,"artuk_hope, william henry, (1835-1915)","(2932, 927)",163.0,"[2, 1]"
1171,84.0,[henry william banks davis],"[1833, 1914]","[paque, oliver, pike, w. h., pike, william h., pike, william henry]","[1846, 1908]",0,wiki_henry-william-banks-davis,"artuk_pike, william henry, (1846-1908)","(4733, 927)",26.0,"[13, 6]"
1172,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[patterson, w. j.]","[1925.0, 1952.0]",0,wiki_hovhannes-zardaryan,"artuk_patterson, w. j., (active 1925-1952)","(956, 4613)",11.0,"[7.0, 21.0]"
1173,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[mcauley, charles j.]","[1910, 1999]",0,wiki_hovhannes-zardaryan,"artuk_mcauley, charles j., (1910-1999)","(956, 3950)",17.0,"[8, 26.0]"
1174,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[dick, alix, dick, j. alix, dick, jessie alexandra]","[1896, 1976]",0,wiki_hovhannes-zardaryan,"artuk_dick, jessie alexandra, (1896-1976)","(956, 1623)",8.0,"[22, 3.0]"
1175,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[cumming, peter ronald j.]","[1916, 1993]",0,wiki_hovhannes-zardaryan,"artuk_cumming, peter ronald j., (1916-1993)","(956, 1355)",17.0,"[2, 20.0]"
1176,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[prowett, j. c., prowett, james christie]","[1936, 1946]",0,wiki_hovhannes-zardaryan,"artuk_prowett, james christie, (1865-1946)","(956, 4848)",8.0,"[18, 27.0]"
