,"score","names_wga","dates_wga","names_artuk","dates_artuk","is_same","artist_id_wiki+googleart+wga+meisterwerke+moma","artist_id_artuk","Unnamed: 9","Unnamed: 10","Unnamed: 11"
1773,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[mitchell, frederick j.]","[1901, 1982]",0,"wiki_hovhannes-zardaryan","artuk_mitchell, frederick j., (1901-1982)","(956, 14069)",7,
1774,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[lawrence, j. cousins]","[1921, 1931]",0,"wiki_hovhannes-zardaryan","artuk_lawrence, j. cousins, (d.1931)","(956, 11858)",6,
1775,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[hillson, mabel j.]","[1887, 1986]",0,"wiki_hovhannes-zardaryan","artuk_hillson, mabel j., (1887-1986)","(956, 9651)",6,
1776,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[auchinleck, claude j.]","[1884, 1981]",0,"wiki_hovhannes-zardaryan","artuk_auchinleck, claude j., (1884-1981)","(956, 657)",7,
1777,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[macleod, torquil j.]","[1898, 1974]",0,"wiki_hovhannes-zardaryan","artuk_macleod, torquil j., (1898-1974)","(956, 12859)",6,
1778,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[lenhart, franz j.]","[1898, 1992]",0,"wiki_hovhannes-zardaryan","artuk_lenhart, franz j., (1898-1992)","(956, 12102)",6,
1779,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[dodd, charles j. b.]","[1913, 1984]",0,"wiki_hovhannes-zardaryan","artuk_dodd, charles j. b., (1913-1984)","(956, 5791)",6,
1780,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[hathaway, arthur j.]","[1880, 1978]",0,"wiki_hovhannes-zardaryan","artuk_hathaway, arthur j., (1880-1978)","(956, 9154)",8,
1781,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[hastings, a. j.]","[1908, 1980]",0,"wiki_hovhannes-zardaryan","artuk_hastings, a. j., (1908-1980)","(956, 9146)",6,
1782,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[neave, henry j.]","[1961, 1971]",0,"wiki_hovhannes-zardaryan","artuk_neave, henry j., (d.1971)","(956, 14777)",6,
1783,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[bhabha, homi j.]","[1909, 1966]",0,"wiki_hovhannes-zardaryan","artuk_bhabha, homi j., (1909-1966)","(956, 1623)",6,
1784,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[mason, o. j.]","[1966, 1966]",0,"wiki_hovhannes-zardaryan","artuk_mason, o. j., (active 1966-1966)","(956, 13251)",12,
1785,100,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[russell, j. a.]","[1920, 1945.0]",0,"wiki_hovhannes-zardaryan","artuk_russell, j. a., (b.1920)","(956, 17624)",6,
