,"score","names_wga","dates_wga","names_artuk","dates_artuk","is_same","artist_id_wga","artist_id_artuk",
39,96,"[dubbels, hendrik jakobsz.]","[1621, 1707]","[dubbels, hendrik jacobsz.]","[1621, 1707]",1,"dubbels, hendrik jakobsz., (1621-1707)","dubbels, hendrik jacobsz., (1621-1707)",
163,96,"[sanchez, pedro]","[1400, 1500]","[sánchez, pedro]","[1475, 1500]",1,"sanchez, pedro, (1400-1500)","sánchez, pedro, (1475-1500)",
56,96,"[gascar, henri]","[1634, 1701]","[gascars, henri]","[1634, 1701]",1,"gascar, henri, (1634-1701)","gascars, henri, (1634-1701)",
20,96,"[bouts, dieric the younger]","[1448, 1491]","[bouts the younger, dierck]","[1448, 1491]",1,"bouts, dieric the younger, (1448-1491)","bouts the younger, dierck, (1448-1491)",
84,96,"[innes, george]","[1825, 1894]","[inness, george]","[1825, 1894]",1,"innes, george, (1825-1894)","inness, george, (1825-1894)",
196,96,"[vermeer van haarlem, jan the younger]","[1656, 1705]","[vermeer van haarlem i, jan]","[1600, 1670]",0,"vermeer van haarlem, jan the younger, (1656-1705)","vermeer van haarlem i, jan, (1600-1670)",
174,96,"[steenwyck, hendrick van the younger]","[1580, 1649]","[van steenwijck the younger, hendrick]","[1580, 1649]",1,"steenwyck, hendrick van the younger, (1580-1649)","van steenwijck the younger, hendrick, (1580-1649)",
111,96,"[manet, edouard]","[1832, 1883]","[manet, édouard]","[1832, 1883]",1,"manet, edouard, (1832-1883)","manet, édouard, (1832-1883)",
86,96,"[jonghe, gustave léonard de]","[1829, 1893]","[de jonghe, gustave leonhard]","[1829, 1893]",1,"jonghe, gustave léonard de, (1829-1893)","de jonghe, gustave leonhard, (1829-1893)",
192,97,"[venne, jan van der]","[1592, 1651]","[van de venne, jan]","[1616, 1651]",1,"venne, jan van der, (1592-1651)","van de venne, jan, (1616-1651)",
189,97,"[velde, jan van de, i]","[1569, 1623]","[van de velde ii, jan]","[1593, 1641]",0,"velde, jan van de, i, (1569-1623)","van de velde ii, jan, (1593-1641)",
180,97,"[thulden, theodor van]","[1606, 1669]","[van thulden, theodore]","[1606, 1669]",1,"thulden, theodor van, (1606-1669)","van thulden, theodore, (1606-1669)",
162,97,"[sanchez cotán, juan]","[1561, 1627]","[sánchez cotán, juan]","[1560, 1627]",1,"sanchez cotán, juan, (1561-1627)","sánchez cotán, juan, (1560-1627)",
186,97,"[vaardt, jan van der]","[1653, 1727]","[van der vaart, jan]","[1647, 1727]",1,"vaardt, jan van der, (1653-1727)","van der vaart, jan, (1647-1727)",
154,97,"[rombouts, theodor]","[1597, 1637]","[rombouts, theodoor]","[1597, 1637]",1,"rombouts, theodor, (1597-1637)","rombouts, theodoor, (1597-1637)",
200,97,"[vinne, vincent ii laurensz. van der]","[1686, 1742]","[van der vinne i, vincent laurentsz.]","[1628, 1702]",0,"vinne, vincent ii laurensz. van der, (1686-1742)","van der vinne i, vincent laurentsz., (1628-1702)",
198,97,"[vinckboons, david]","[1576, 1633]","[vinckeboons, david]","[1576, 1632]",1,"vinckboons, david, (1576-1633)","vinckeboons, david, (1576-1632)",
155,97,"[rondinelli, niccolò]","[1490, 1510]","[rondinelli, nicolò]","[1440, 1520]",1,"rondinelli, niccolò, (1490-1510)","rondinelli, nicolò, (1440-1520)",
157,97,"[ryckaert, david ii]","[1586, 1642]","[ryckaert iii, david]","[1612, 1661]",0,"ryckaert, david ii, (1586-1642)","ryckaert iii, david, (1612-1661)",
169,97,"[solís, francisco de]","[1620, 1684]","[de solis, francisco]","[1629, 1684]",1,"solís, francisco de, (1620-1684)","de solis, francisco, (1629-1684)",
152,97,"[roghman, roelandt]","[1627, 1692]","[roghman, roelant]","[1627, 1692]",1,"roghman, roelandt, (1627-1692)","roghman, roelant, (1627-1692)",
158,97,"[sadeler, aegidius ii]","[1570, 1629]","[sadeler ii, egidius]","[1570, 1629]",1,"sadeler, aegidius ii, (1570-1629)","sadeler ii, egidius, (1570-1629)",
0,97,"[abbate, niccolò dell']","[1509, 1571]","[niccolò dell'abate]","[1509, 1571]",1,"abbate, niccolò dell', (1509-1571)","niccolò dell'abate, (1509-1571)",
45,97,"[eversdijck, willem]","[1616, 1671]","[eversdijk, willem]","[1617, 1671]",1,"eversdijck, willem, (1616-1671)","eversdijk, willem, (1617-1671)",
83,97,"[huchtenburg, jan van]","[1647, 1733]","[van huchtenburgh, jan]","[1647, 1733]",1,"huchtenburg, jan van, (1647-1733)","van huchtenburgh, jan, (1647-1733)",
87,97,"[keirinckx, alexander]","[1600, 1652]","[keirincx, alexander]","[1600, 1652]",1,"keirinckx, alexander, (1600-1652)","keirincx, alexander, (1600-1652)",
33,97,"[crayer, gaspard de]","[1584, 1669]","[de crayer, gaspar]","[1584, 1669]",1,"crayer, gaspard de, (1584-1669)","de crayer, gaspar, (1584-1669)",
24,97,"[carlevaris, luca]","[1663, 1730]","[carlevarijs, luca]","[1663, 1730]",1,"carlevaris, luca, (1663-1730)","carlevarijs, luca, (1663-1730)",
23,97,"[camprobín, pedro de]","[1605, 1674]","[de camprobin, pedro]","[1606, 1674]",1,"camprobín, pedro de, (1605-1674)","de camprobin, pedro, (1606-1674)",
17,97,"[bouchardon, edme]","[1698, 1762]","[bouchardon, edmé]","[1698, 1762]",1,"bouchardon, edme, (1698-1762)","bouchardon, edmé, (1698-1762)",
13,97,"[blondeel, lanceloot]","[1498, 1561]","[blondeel, lancelot]","[1496, 1581]",1,"blondeel, lanceloot, (1498-1561)","blondeel, lancelot, (1496-1581)",
